Recipients,Year,Award Type,State,Field,WikiLink,Born,Birth Date,Place of Birth,Died,Death Date,Place of Death,Nationality,Spouse,Alma mater,Institutions,Other Awards including Padma,Awarded By,Occupation,Election Year,Posthumus
Hanumanbax Kanoi,1965,PadmaShri,Rajasthan,Trade & Industry,not available,URL not available,n/a,n/a,URL not available,n/a,n/a,URL not available,URL not available,URL not available,URL not available,URL not available,Sarvepalli Radhakrishnan,URL not available,No,No
Narendra Kumar,1965,PadmaShri,Punjab,Sports,https://en.wikipedia.org/wiki/Narendra_Kumar_(mountaineer),"(1933-12-08)8 December 1933
Rawalpindi,Punjab,British India(modern-dayPakistan)",(1933-12-08)8 December 1933,"Rawalpindi,Punjab,British India(modern-dayPakistan)","December 31, 2020(2020-12-31)(aged 87)
Delhi, India","December 31, 2020(2020-12-31)(aged 87)","Delhi, India",,,,,Param Vishisht Seva MedalKirti ChakraAti Vishisht Seva MedalPadma ShriMacGregor MedalArjuna Award,Sarvepalli Radhakrishnan,,No,No
Verghese Kurien,1965,PadmaShri,Gujarat,Trade & Industry,https://en.wikipedia.org/wiki/Verghese_Kurien,"(1921-11-26)26 November 1921
Calicut,Madras Presidency,British India(nowKozhikode,Kerala, India)",(1921-11-26)26 November 1921,"Calicut,Madras Presidency,British India(nowKozhikode,Kerala, India)","9 September 2012(2012-09-09)(aged 90)
Nadiad,Gujarat, India",9 September 2012(2012-09-09)(aged 90),"Nadiad,Gujarat, India",,,,,"World Food Prize(1989)
Order of Agricultural Merit(1997)
Padma Vibhushan(1999)
Padma Bhushan(1966)
Padma Shri(1965)
Ramon Magsaysay Award(1964)",Sarvepalli Radhakrishnan,"General Manager and later chairman, AMUL, Chairman – NDDB (National Dairy Development Board) and IRMA (Institute of Rural Management, Anand, Bombay province (later Bombay state and now in Gujarat, India))",No,No
Guru Kunchu Kurup,1965,PadmaShri,Kerala,Arts,https://en.wikipedia.org/wiki/Guru_Kunchu_Kurup,,n/a,n/a,,n/a,n/a,,,,,,Sarvepalli Radhakrishnan,,No,No
Lakshmi Mazumdar,1965,PadmaShri,Delhi,Social Work,https://en.wikipedia.org/wiki/Lakshmi_Mazumdar,,n/a,n/a,,n/a,n/a,,,,,,Sarvepalli Radhakrishnan,,No,No
Dwijendra Nath Mukerjee,1965,PadmaShri,West Bengal,Medicine,not available,URL not available,n/a,n/a,URL not available,n/a,n/a,URL not available,URL not available,URL not available,URL not available,URL not available,Sarvepalli Radhakrishnan,URL not available,No,No
Chittor V. Nagaiah,1965,PadmaShri,Tamil Nadu,Arts,https://en.wikipedia.org/wiki/Chittor_V._Nagaiah,"Vuppaladadiyam Nagaiah
(1904-03-28)28 March 1904
Repalle,Madras Presidency,British India",(1904-03-28)28 March 1904,n/a,30 December 1973(1973-12-30)(aged 69),30 December 1973(1973-12-30)(aged 69),n/a,,,,,Padma Shri(1965),Sarvepalli Radhakrishnan,"Actor, composer, director, producer, writer and playback singer",No,No
Gordhandas Bhagwandas Narottamdas,1965,PadmaShri,Maharashtra,Social Work,https://en.wikipedia.org/wiki/Gordhandas_Bhagwandas_Narottamdas,1887(1887),1887(1887),n/a,1975(1975-00-00)(aged 87–88),1975(1975-00-00)(aged 87–88),n/a,,Madanbahen,,,Padma Shri(1965),Sarvepalli Radhakrishnan,Physiciansocial worker,No,No
T. M. A. Pai,1965,PadmaShri,Karnataka,Literature & Education,https://en.wikipedia.org/wiki/T._M._A._Pai,"(1898-04-30)30 April 1898
Udupi(Madras Presidency,British India)
(present dayKarnataka, India)",(1898-04-30)30 April 1898,"Udupi(Madras Presidency,British India)
(present dayKarnataka, India)","29 May 1979(1979-05-29)(aged 81)
Manipal,Karnataka, India",29 May 1979(1979-05-29)(aged 81),"Manipal,Karnataka, India",Indian,Sharada Pai,,,Padma Shri(1972),Sarvepalli Radhakrishnan,,No,No
Jashbhai Shankarbhaiu Patel,1965,PadmaShri,Gujarat,Science & Engineering,not available,URL not available,n/a,n/a,URL not available,n/a,n/a,URL not available,URL not available,URL not available,URL not available,URL not available,Sarvepalli Radhakrishnan,URL not available,No,No
Ravishankar Raval,1965,PadmaShri,Gujarat,Arts,https://en.wikipedia.org/wiki/Ravishankar_Raval,"(1892-08-01)1 August 1892
Bhavnagar,Gujarat",(1892-08-01)1 August 1892,"Bhavnagar,Gujarat","9 December 1977(1977-12-09)(aged 85)
Ahmedabad, Gujarat",9 December 1977(1977-12-09)(aged 85),"Ahmedabad, Gujarat",Indian,Ramaben​(m.1909)​,,,Ranjitram Suvarna Chandrak(1930)Padma Shri(1965),Sarvepalli Radhakrishnan,"painter, art critic, journalist, essayist",No,No
Harish Chandra Singh Rawat,1965,PadmaShri,Delhi,Sports,https://en.wikipedia.org/wiki/Harish_Chandra_Singh_Rawat,"3 July 1934
Punjab,India",3 July 1934,"Punjab,India",20 January 2008,20 January 2008,n/a,,,,,Padma ShriArjuna Award,Sarvepalli Radhakrishnan,,No,No
John Richardson,1965,PadmaShri,Andaman and Nicobar Islands,Social Work,https://en.wikipedia.org/wiki/John_Richardson_(bishop_of_Car_Nicobar),,n/a,n/a,,n/a,n/a,,,,,,Sarvepalli Radhakrishnan,,No,No
Mrinalini Sarabhai,1965,PadmaShri,Gujarat,Arts,https://en.wikipedia.org/wiki/Mrinalini_Sarabhai,"(1918-05-11)11 May 1918
Kerala,British India",(1918-05-11)11 May 1918,"Kerala,British India","21 January 2016(2016-01-21)(aged 97)
AhmedabadGujarat,India",21 January 2016(2016-01-21)(aged 97),"AhmedabadGujarat,India",Indian,Vikram Sarabhai,,,,Sarvepalli Radhakrishnan,"Dancer,Choreographer
Founder ofDarpana Academy of Performing Arts",No,No
Thrity H. Taleyarkhan,1965,PadmaShri,Maharashtra,Social Work,not available,URL not available,n/a,n/a,URL not available,n/a,n/a,URL not available,URL not available,URL not available,URL not available,URL not available,Sarvepalli Radhakrishnan,URL not available,No,No
Mritanjaya Vaidyanathan,1965,PadmaShri,Tamil Nadu,Science & Engineering,not available,URL not available,n/a,n/a,URL not available,n/a,n/a,URL not available,URL not available,URL not available,URL not available,URL not available,Sarvepalli Radhakrishnan,URL not available,No,No
Chandra Prakash Vohra,1965,PadmaShri,West Bengal,Sports,https://en.wikipedia.org/wiki/Chandra_Prakash_Vohra,India,n/a,n/a,,n/a,n/a,,Satinder Vohra,,,"Padma Shri
Arjuna Award
National Mineral Award
Nain Singh – Kishen Singh Lifetime Achievement Award",Sarvepalli Radhakrishnan,"geologist,glaciologistand Mountaineer",No,No
Gopal Prasad Vyas,1965,PadmaShri,Delhi,Literature & Education,https://en.wikipedia.org/wiki/Gopal_Prasad_Vyas,"(1915-02-13)13 February 1915(School records)
(1914-02-13)13 February 1914(Family records)
Mahmadpur,Mathura,Uttar Pradesh,India",(1915-02-13)13 February 1915(School records),"(1914-02-13)13 February 1914(Family records)
Mahmadpur,Mathura,Uttar Pradesh,India","28 May 2005(2005-05-28)(aged 90)
Gulmohar Park,New Delhi, India",28 May 2005(2005-05-28)(aged 90),"Gulmohar Park,New Delhi, India",Indian,Asharfi Devi,,,Padma ShriYash Bharti AwardShalaka Award,Sarvepalli Radhakrishnan,"Poet, writer, columnist, journalist",No,No
Sonam Wangyal,1965,PadmaShri,Sikkim,Sports,https://en.wikipedia.org/wiki/Sonam_Wangyal,"1942
[Ladakh],India",1942,"[Ladakh],India",,n/a,n/a,,,,,Padma ShriArjuna Award,Sarvepalli Radhakrishnan,,No,No
Ebrahim Alkazi,1966,PadmaShri,Delhi,Trade & Industry,https://en.wikipedia.org/wiki/Ebrahim_Alkazi,"(1925-10-18)18 October 1925
Pune,Maharashtra",(1925-10-18)18 October 1925,"Pune,Maharashtra",4 August 2020(2020-08-04)(aged 94),4 August 2020(2020-08-04)(aged 94),n/a,Indian,,,,"Padma Shri(1966)
Padma Bhushan(1991)",Sarvepalli Radhakrishnan,Theatre director,No,No
Surinder Singh Bedi,1966,PadmaShri,Delhi,Civil Service,not available,URL not available,n/a,n/a,URL not available,n/a,n/a,URL not available,URL not available,URL not available,URL not available,URL not available,Sarvepalli Radhakrishnan,URL not available,No,No
Kundal Lal Bery,1966,PadmaShri,Punjab,Civil Service,not available,URL not available,n/a,n/a,URL not available,n/a,n/a,URL not available,URL not available,URL not available,URL not available,URL not available,Sarvepalli Radhakrishnan,URL not available,No,No
Earnest Joachin Joseph Borges,1966,PadmaShri,Maharashtra,Medicine,not available,URL not available,n/a,n/a,URL not available,n/a,n/a,URL not available,URL not available,URL not available,URL not available,URL not available,Sarvepalli Radhakrishnan,URL not available,No,No
Nirmal Kumar Bose,1966,PadmaShri,West Bengal,Literature & Education,https://en.wikipedia.org/wiki/Nirmal_Kumar_Bose,"(1901-01-22)22 January 1901
Kolkata,Bengal, British India",(1901-01-22)22 January 1901,"Kolkata,Bengal, British India","15 October 1972(1972-10-15)(aged 71)
Kolkata, West Bengal, India",15 October 1972(1972-10-15)(aged 71),"Kolkata, West Bengal, India",Indian,,,,,Sarvepalli Radhakrishnan,"Anthropologist, Social worker",No,No
Stanislaus Joseph Coelho,1966,PadmaShri,Maharashtra,Civil Service,not available,URL not available,n/a,n/a,URL not available,n/a,n/a,URL not available,URL not available,URL not available,URL not available,URL not available,Sarvepalli Radhakrishnan,URL not available,No,No
Swami Bichitranada Das,1966,PadmaShri,Odisha,Social Work,not available,URL not available,n/a,n/a,URL not available,n/a,n/a,URL not available,URL not available,URL not available,URL not available,URL not available,Sarvepalli Radhakrishnan,URL not available,No,No
Robert Brocklesby Davis,1966,PadmaShri,Bihar,Medicine,not available,URL not available,n/a,n/a,URL not available,n/a,n/a,URL not available,URL not available,URL not available,URL not available,URL not available,Sarvepalli Radhakrishnan,URL not available,No,No
Purushottam Laxman Deshpande,1966,PadmaShri,Maharashtra,Literature & Education,https://en.wikipedia.org/wiki/Purushottam_Laxman_Deshpande,"(1919-11-08)8 November 1919
Mumbai, Maharashtra",(1919-11-08)8 November 1919,"Mumbai, Maharashtra","12 June 2000(2000-06-12)(aged 80)
Pune, Maharashtra, India",12 June 2000(2000-06-12)(aged 80),"Pune, Maharashtra, India",Indian,Sunita Deshpande,,,,Sarvepalli Radhakrishnan,"Harmonium player,Writer, actor, composer, film and television producer, film director, music director",No,No
Dharmendra,1966,PadmaShri,Delhi,Medicine,not available,URL not available,n/a,n/a,URL not available,n/a,n/a,URL not available,URL not available,URL not available,URL not available,URL not available,Sarvepalli Radhakrishnan,URL not available,No,No
Satish Dhawan,1966,PadmaShri,Karnataka,Science & Engineering,https://en.wikipedia.org/wiki/Satish_Dhawan,"(1920-09-25)25 September 1920
Srinagar,Jammu and Kashmir,British India
(now inJammu and Kashmir,India)",(1920-09-25)25 September 1920,"Srinagar,Jammu and Kashmir,British India
(now inJammu and Kashmir,India)","3 January 2002(2002-01-03)(aged 81)
Bangalore,Karnataka,India",3 January 2002(2002-01-03)(aged 81),"Bangalore,Karnataka,India",,,,"Indian Space Research Organisation
Indian Institute of Science
California Institute of Technology
National Aerospace Laboratories",Padma Vibhushan,Sarvepalli Radhakrishnan,,No,No
Sivaji Ganesan,1966,PadmaShri,Tamil Nadu,Arts,https://en.wikipedia.org/wiki/Sivaji_Ganesan,"V. Chinnaiya Manrayar Ganesamoorthy
(1928-10-01)1 October 1928[1][2][3][4][5]
Soorakkottai,[6]Madras Presidency,British India",(1928-10-01)1 October 1928[1][2][3][4][5],n/a,"21 July 2001(2001-07-21)(aged 72)
Chennai,Tamil Nadu,India",21 July 2001(2001-07-21)(aged 72),"Chennai,Tamil Nadu,India",Indian,Kamala​​(m.1952;his death2001)​,,,Kalaimamani(1962)Padma Shri(1966)Padma Bhushan(1984)Chevalier(1995)Dada Saheb Phalke Award(1996)NTR National Award(1998),Sarvepalli Radhakrishnan,,No,No
M. F. Husain,1966,PadmaShri,Delhi,Arts,https://en.wikipedia.org/wiki/M._F._Husain,"Maqbool Fida Husain
(1915-09-17)17 September 1915
Pandharpur,Bombay Presidency,British India",(1915-09-17)17 September 1915,n/a,"9 June 2011(2011-06-09)(aged 95)
London, England, UK",9 June 2011(2011-06-09)(aged 95),"London, England, UK",Indian (1915—2010)[1]Qatari (2010—2011)[1],,,,"Padma Bhushan(1973)
Padma Vibhushan(1991)",Sarvepalli Radhakrishnan,,No,No
Eswara Iyer Krishna Iyer,1966,PadmaShri,Tamil Nadu,Arts,not available,URL not available,n/a,n/a,URL not available,n/a,n/a,URL not available,URL not available,URL not available,URL not available,URL not available,Sarvepalli Radhakrishnan,URL not available,No,No
Mohammed Din Jagir,1966,PadmaShri,Jammu & Kashmir,Social Work,not available,URL not available,n/a,n/a,URL not available,n/a,n/a,URL not available,URL not available,URL not available,URL not available,URL not available,Sarvepalli Radhakrishnan,URL not available,No,No
Jerusha Jhirad,1966,PadmaShri,Maharashtra,Medicine,https://en.wikipedia.org/wiki/Jerusha_Jhirad,"(1891-03-21)21 March 1891
Mumbai,Maharashtra, India",(1891-03-21)21 March 1891,"Mumbai,Maharashtra, India","2 June 1984(1984-06-02)(aged 93)
India",2 June 1984(1984-06-02)(aged 93),India,,,,,Padma Shri,Sarvepalli Radhakrishnan,Physician,No,No
Ramprasad Ramchand Khandelwal,1966,PadmaShri,Uttar Pradesh,Trade & Industry,not available,URL not available,n/a,n/a,URL not available,n/a,n/a,URL not available,URL not available,URL not available,URL not available,URL not available,Sarvepalli Radhakrishnan,URL not available,No,No
Kishan Lal,1966,PadmaShri,Uttar Pradesh,Sports,https://en.wikipedia.org/wiki/Kishan_Lal,"(1917-02-02)2 February 1917
Mhow,Central India Agency,British India",(1917-02-02)2 February 1917,"Mhow,Central India Agency,British India","23 June 1980(1980-06-23)(aged 63)
Madras,Tamil Nadu,India",23 June 1980(1980-06-23)(aged 63),"Madras,Tamil Nadu,India",,,,,,Sarvepalli Radhakrishnan,,No,No
Sanganbasappa Mallangouda Patil,1966,PadmaShri,Karnataka,Civil Service,not available,URL not available,n/a,n/a,URL not available,n/a,n/a,URL not available,URL not available,URL not available,URL not available,URL not available,Sarvepalli Radhakrishnan,URL not available,No,No
Arun Ramavtar Poddar,1966,PadmaShri,Maharashtra,Literature & Education,not available,URL not available,n/a,n/a,URL not available,n/a,n/a,URL not available,URL not available,URL not available,URL not available,URL not available,Sarvepalli Radhakrishnan,URL not available,No,No
Jagdish Prasad,1966,PadmaShri,Uttar Pradesh,Civil Service,not available,URL not available,n/a,n/a,URL not available,n/a,n/a,URL not available,URL not available,URL not available,URL not available,URL not available,Sarvepalli Radhakrishnan,URL not available,No,No
Sayyid Ahmedullah Qadri,1966,PadmaShri,Andhra Pradesh,Literature & Education,https://en.wikipedia.org/wiki/Sayyid_Ahmedullah_Qadri,"9 August 1909
Hyderabad,Deccan",9 August 1909,"Hyderabad,Deccan","5 October 1985
Hyderabad,Andhra Pradesh,India",5 October 1985,"Hyderabad,Andhra Pradesh,India",Indian,Sayyida Shahzadi Begum,,,Padma Shriin 1966,Sarvepalli Radhakrishnan,"Poet, Journalist, Writer, Translator, Literary Critic, Educationist and Politician",No,No
Sumitra Charat Ram,1966,PadmaShri,Delhi,Arts,https://en.wikipedia.org/wiki/Sumitra_Charat_Ram,"(1914-11-17)17 November 1914
Meerut,United Provinces",(1914-11-17)17 November 1914,"Meerut,United Provinces",8 August 2011(2011-08-08)(aged 96),8 August 2011(2011-08-08)(aged 96),n/a,,,,,,Sarvepalli Radhakrishnan,,No,No
Bhanumathi Ramakrishna,1966,PadmaShri,Tamil Nadu,Arts,https://en.wikipedia.org/wiki/Bhanumathi_Ramakrishna,"(1925-09-07)7 September 1925
Doddavaram,Madras Presidency,British India(nowAndhra Pradesh,India)",(1925-09-07)7 September 1925,"Doddavaram,Madras Presidency,British India(nowAndhra Pradesh,India)","24 December 2005(2005-12-24)(aged 80)
Chennai,Tamil Nadu, India",24 December 2005(2005-12-24)(aged 80),"Chennai,Tamil Nadu, India",,P. S. Ramakrishna Rao,,,,Sarvepalli Radhakrishnan,Actresssingerwritermusic directordirectorproducerstudio owner,No,No
B. Silvamurthy Siva Sastry,1966,PadmaShri,Karnataka,Literature & Education,not available,URL not available,n/a,n/a,URL not available,n/a,n/a,URL not available,URL not available,URL not available,URL not available,URL not available,Sarvepalli Radhakrishnan,URL not available,No,No
Hari Shankar Sharma,1966,PadmaShri,Uttar Pradesh,Literature & Education,https://en.wikipedia.org/wiki/Hari_Shankar_Sharma,,n/a,n/a,,n/a,n/a,,,,,,Sarvepalli Radhakrishnan,,No,No
Sardar Mohan Singh,1966,PadmaShri,Delhi,Civil Service,not available,URL not available,n/a,n/a,URL not available,n/a,n/a,URL not available,URL not available,URL not available,URL not available,URL not available,Sarvepalli Radhakrishnan,URL not available,No,No
Rajkavi Inderjeet Singh Tulsi,1966,PadmaShri,Delhi,Literature & Education,https://en.wikipedia.org/wiki/Rajkavi_Inderjeet_Singh_Tulsi,"(1926-04-02)April 2, 1926
Kana Kacha, Lahore,Punjab,British India","(1926-04-02)April 2, 1926","Kana Kacha, Lahore,Punjab,British India","May 11, 1984(1984-05-11)(aged 58)
Bombay,India","May 11, 1984(1984-05-11)(aged 58)","Bombay,India",India,,,,"Padma Shri
(1966)
Rajkavi
(1962)
",Sarvepalli Radhakrishnan,"Poet,Author,BollywoodLyricist",No,No
Kuldip Singh Virk,1966,PadmaShri,Punjab,Civil Service,not available,URL not available,n/a,n/a,URL not available,n/a,n/a,URL not available,URL not available,URL not available,URL not available,URL not available,Sarvepalli Radhakrishnan,URL not available,No,No
Rajeshwar Nath Zutshi,1966,PadmaShri,Madhya Pradesh,Literature & Education,not available,URL not available,n/a,n/a,URL not available,n/a,n/a,URL not available,URL not available,URL not available,URL not available,URL not available,Sarvepalli Radhakrishnan,URL not available,No,No
Anekal Ramaswamy Iyengar Gopal Aiyengar,1967,PadmaShri,Maharashtra,Science & Engineering,not available,URL not available,n/a,n/a,URL not available,n/a,n/a,URL not available,URL not available,URL not available,URL not available,URL not available,Sarvepalli Radhakrishnan,URL not available,Yes,No
K. C. Banerjee,1967,PadmaShri,West Bengal,Civil Service,https://en.wikipedia.org/w/index.php?title=K._C._Banerjee&action=edit&redlink=1,,n/a,n/a,,n/a,n/a,,,,,,Sarvepalli Radhakrishnan,,Yes,No
Daji Bhatawadekar,1967,PadmaShri,Maharashtra,Arts,https://en.wikipedia.org/wiki/Daji_Bhatawadekar,"15 September 1921(1921-09-15)
Bombay,Bomabay Presidency, India",15 September 1921(1921-09-15),"Bombay,Bomabay Presidency, India","26 December 2006(2006-12-27)(aged 85)
Mumbai,Maharashtra, India",26 December 2006(2006-12-27)(aged 85),"Mumbai,Maharashtra, India",,,,,"Padma Shri
Sangeet Natak Akademi Award
Natya Bhooshan
Kala Guarav
Maharashtra Ratna
Nata Samraat",Sarvepalli Radhakrishnan,"Theatre personality, film actor",Yes,No
Balakrishna Bhagwant Borkar,1967,PadmaShri,Goa,Literature & Education,https://en.wikipedia.org/wiki/Balakrishna_Bhagwant_Borkar,"Borim
(1910-11-30)30 November 1910",(1910-11-30)30 November 1910,n/a,8 July 1984(1984-07-08)(aged 73),8 July 1984(1984-07-08)(aged 73),n/a,Indian,,,,Padma Shri,Sarvepalli Radhakrishnan,"Freedom fighter, poet, author, linguistic activist",Yes,No
A. Nagappa Chettiar,1967,PadmaShri,Tamil Nadu,Trade & Industry,https://en.wikipedia.org/wiki/A._Nagappa_Chettiar,"6 August 1915
Melasivapuri, Pudukottai, Tamil Nadu, India",6 August 1915,"Melasivapuri, Pudukottai, Tamil Nadu, India","March 13, 1982(1982-03-13)(aged 66)","March 13, 1982(1982-03-13)(aged 66)",n/a,,,,,Padma Shri,Sarvepalli Radhakrishnan,Industrialist,Yes,No
Vasant Desai,1967,PadmaShri,Maharashtra,Arts,https://en.wikipedia.org/wiki/Vasant_Desai,"(1912-06-09)June 9, 1912
Sonawade village,Sindhudurg, Maharashtra, India","(1912-06-09)June 9, 1912","Sonawade village,Sindhudurg, Maharashtra, India","December 22, 1975(1975-12-22)(aged 63)
Bombay","December 22, 1975(1975-12-22)(aged 63)",Bombay,,,,,,Sarvepalli Radhakrishnan,film score composer,Yes,No
Chandidan Detha,1967,PadmaShri,Rajasthan,Science & Engineering,not available,URL not available,n/a,n/a,URL not available,n/a,n/a,URL not available,URL not available,URL not available,URL not available,URL not available,Sarvepalli Radhakrishnan,URL not available,Yes,No
Siddheshwari Devi,1967,PadmaShri,Delhi,Arts,https://en.wikipedia.org/wiki/Siddheshwari_Devi,"8 August 1908
Benares,British India",8 August 1908,"Benares,British India","18 March 1977(1977-03-18)(aged 68–69)
New Delhi,India",18 March 1977(1977-03-18)(aged 68–69),"New Delhi,India",,,,,,Sarvepalli Radhakrishnan,,Yes,No
Frank Sathyarajan Dewars,1967,PadmaShri,Myanmar,Civil Service,not available,URL not available,n/a,n/a,URL not available,n/a,n/a,URL not available,URL not available,URL not available,URL not available,URL not available,Sarvepalli Radhakrishnan,URL not available,Yes,No
Syed Fareeduddin,1967,PadmaShri,Andhra Pradesh,Science & Engineering,not available,URL not available,n/a,n/a,URL not available,n/a,n/a,URL not available,URL not available,URL not available,URL not available,URL not available,Sarvepalli Radhakrishnan,URL not available,Yes,No
Ali Sardar Jafri,1967,PadmaShri,Maharashtra,Literature & Education,https://en.wikipedia.org/wiki/Ali_Sardar_Jafri,"(1913-11-29)29 November 1913
Balrampur,United Provinces of Agra and Oudh,British India",(1913-11-29)29 November 1913,"Balrampur,United Provinces of Agra and Oudh,British India","1 August 2000(2000-08-01)(aged 89)
Mumbai,Maharashtra,India",1 August 2000(2000-08-01)(aged 89),"Mumbai,Maharashtra,India",Indian,Sultana,,,"Padma Shri(1967)
Jawaharlal Nehru Fellowship(1971)
Jnanpith Award(1997)",Sarvepalli Radhakrishnan,"Writer, poet, critic, film lyricist.",Yes,No
Puthenpurayil Mathew Joseph,1967,PadmaShri,Kerala,Literature & Education,https://en.wikipedia.org/wiki/Puthenpurayil_Mathew_Joseph,"Kochi, Kerala, India",n/a,n/a,,n/a,n/a,,,,,Padma Shri,Sarvepalli Radhakrishnan,Educationist,Yes,No
Prabjot Kaur,1967,PadmaShri,Delhi,Literature & Education,not available,URL not available,n/a,n/a,URL not available,n/a,n/a,URL not available,URL not available,URL not available,URL not available,URL not available,Sarvepalli Radhakrishnan,URL not available,Yes,No
Shankar Lakshman,1967,PadmaShri,Karnataka,Sports,https://en.wikipedia.org/wiki/Shankar_Lakshman,"(1933-07-07)7 July 1933[3]
Mhow,British India[3]",(1933-07-07)7 July 1933[3],"Mhow,British India[3]","29 April 2006(2006-04-29)(aged 72)[4]
Mhow,India",29 April 2006(2006-04-29)(aged 72)[4],"Mhow,India",,,,,Padma Shri,Sarvepalli Radhakrishnan,,Yes,No
Mayadhar Mansingh,1967,PadmaShri,Odisha,Literature & Education,https://en.wikipedia.org/wiki/Mayadhar_Mansingh,"Mayadhar Mansingh
(1905-11-13)13 November 1905
Nandala,Orissa Province,British India",(1905-11-13)13 November 1905,n/a,"11 October 1973(1973-10-11)(aged 67)
Cuttack,Orissa, India",11 October 1973(1973-10-11)(aged 67),"Cuttack,Orissa, India",,,,,,Sarvepalli Radhakrishnan,,Yes,No
Chandravadan Mehta,1967,PadmaShri,Gujarat,Literature & Education,https://en.wikipedia.org/wiki/Chandravadan_Mehta,"(1901-04-06)6 April 1901
Surat,British India",(1901-04-06)6 April 1901,"Surat,British India",4 May 1991(1991-05-04)(aged 90),4 May 1991(1991-05-04)(aged 90),n/a,,Vilas​​(m.1925;div.1938)​,,,Padma Shri(1962)Sahitya Academy Award(1971)Sangeet Natak Akademi Fellowship(1984),Sarvepalli Radhakrishnan,"Playwright, critic, autobiographer, poet, broadcaster, travel writer",Yes,No
Ved Rattan Mohan,1967,PadmaShri,Uttar Pradesh,Trade & Industry,https://en.wikipedia.org/wiki/Ved_Rattan_Mohan,"Ghaziabad,Uttar Pradesh, India",n/a,n/a,1973,1973,n/a,,,,,1967Padma Shri1971Padma Bhushan,Sarvepalli Radhakrishnan,Entrepreneur,Yes,No
Sashadhar Mukherjee,1967,PadmaShri,Maharashtra,Arts,https://en.wikipedia.org/wiki/Sashadhar_Mukherjee,"(1909-09-29)29 September 1909
Jhansi,Gwalior State,United Provinces of Agra and Oudh,British India
(present–dayUttar Pradesh,India)",(1909-09-29)29 September 1909,"Jhansi,Gwalior State,United Provinces of Agra and Oudh,British India
(present–dayUttar Pradesh,India)","3 November 1990(1990-11-03)(aged 81)
Bombay,Maharashtra,India
(present-dayMumbai)",3 November 1990(1990-11-03)(aged 81),"Bombay,Maharashtra,India
(present-dayMumbai)",,Sati Devi,,,,Sarvepalli Radhakrishnan,Filmmaker,Yes,No
Kashi Prasad Pandey,1967,PadmaShri,Madhya Pradesh,Public Affairs,https://en.wikipedia.org/wiki/Kashi_Prasad_Pandey,,n/a,n/a,,n/a,n/a,,,,,,Sarvepalli Radhakrishnan,,Yes,No
Mansoor Ali Khan Pataudi,1967,PadmaShri,Delhi,Sports,https://en.wikipedia.org/wiki/Mansoor_Ali_Khan_Pataudi,"Mohammad Mansoor Ali Khan Siddiqui Pataudi
5 January 1941(1941-01-05)
Bhopal,Bhopal State,British India",5 January 1941(1941-01-05),n/a,"22 September 2011(2011-09-22)(aged 70)
Delhi,India",22 September 2011(2011-09-22)(aged 70),"Delhi,India",,Sharmila Tagore​(m.1968)​,,,,Sarvepalli Radhakrishnan,Cricketer,Yes,No
Maganbhai Ramchhodbhai Patel,1967,PadmaShri,Gujarat,Science & Engineering,https://en.wikipedia.org/wiki/Maganbhai_Ramchhodbhai_Patel,"Gujarat, India",n/a,n/a,,n/a,n/a,,,,,Padma Shri,Sarvepalli Radhakrishnan,Bureaucrat,Yes,No
Harishchandra Gopal Patil,1967,PadmaShri,Maharashtra,Science & Engineering,not available,URL not available,n/a,n/a,URL not available,n/a,n/a,URL not available,URL not available,URL not available,URL not available,URL not available,Sarvepalli Radhakrishnan,URL not available,Yes,No
Edith Helen Paull,1967,PadmaShri,Maharashtra,Medicine,https://en.wikipedia.org/wiki/Edith_Helen_Paull,"14 January 1902[1][2]
Chunar,Uttar Pradesh, India",14 January 1902[1][2],"Chunar,Uttar Pradesh, India",1975 (aged 73),1975 (aged 73),n/a,,,,,"Padma Shri
Florence Nightingale Medal",Sarvepalli Radhakrishnan,Medical nurse,Yes,No
Shanti Prasad,1967,PadmaShri,Uttar Pradesh,Civil Service,not available,URL not available,n/a,n/a,URL not available,n/a,n/a,URL not available,URL not available,URL not available,URL not available,URL not available,Sarvepalli Radhakrishnan,URL not available,Yes,No
Syed Abdul Qadir,1967,PadmaShri,Uttar Pradesh,Social Work,not available,URL not available,n/a,n/a,URL not available,n/a,n/a,URL not available,URL not available,URL not available,URL not available,URL not available,Sarvepalli Radhakrishnan,URL not available,Yes,No
Mohammed Rafi,1967,PadmaShri,Punjab,Arts,https://en.wikipedia.org/wiki/Mohammed_Rafi,"(1924-12-24)24 December 1924
Kotla Sultan Singh,Punjab,British India
(present-dayPunjab,India)",(1924-12-24)24 December 1924,"Kotla Sultan Singh,Punjab,British India
(present-dayPunjab,India)","31 July 1980(1980-07-31)(aged 55)[1]
Bombay,Maharashtra, India",31 July 1980(1980-07-31)(aged 55)[1],"Bombay,Maharashtra, India",Indian,,,,Filmfare Award for Best Male Playback SingerBFJA Best Male Playback AwardNational Film Award for Best Male Playback Singer,Sarvepalli Radhakrishnan,Playback SingerMusicianPerformerQawwali Singer,Yes,No
Kallur Subba Rao,1967,PadmaShri,Andhra Pradesh,Social Work,https://en.wikipedia.org/wiki/Kallur_Subba_Rao,"25 May 1897
Kallur,Anantapur district",25 May 1897,"Kallur,Anantapur district",20 December 1973,20 December 1973,n/a,,,,,,Sarvepalli Radhakrishnan,,Yes,No
