Recipients,Year,Award Type,State,Field,WikiLink,Born,Birth Date,Place of Birth,Died,Death Date,Place of Death,Nationality,Spouse,Alma mater,Institutions,Other Awards including Padma,Awarded By,Occupation,Election Year,Posthumus
Musiri Subramania Iyer,1971,PadmaBushan,Tamil Nadu,Arts,https://en.wikipedia.org/wiki/Musiri_Subramania_Iyer,"9 April 1899
Bommalapalayam, Trichy district, Tamil Nadu",9 April 1899,"Bommalapalayam, Trichy district, Tamil Nadu",25 March 1975(1975-03-25)(aged 75),25 March 1975(1975-03-25)(aged 75),n/a,,Nagalakshmi,,,,V. V. Giri,carnatic vocalist,Yes,No
P Tiruvillvamalai Seshan M. Iyer,1971,PadmaBushan,Tamil Nadu,Arts,https://en.wikipedia.org/wiki/Palghat_Mani_Iyer,"(1912-06-12)June 12, 1912
Pazhayannur,Kerala, India","(1912-06-12)June 12, 1912","Pazhayannur,Kerala, India","May 30, 1981(1981-05-30)(aged 68)
Kochi,Kerala, India","May 30, 1981(1981-05-30)(aged 68)","Kochi,Kerala, India",,,,,,V. V. Giri,,Yes,No
Jainendra Kumar Jain,1971,PadmaBushan,Delhi,Literature & Education,https://en.wikipedia.org/wiki/Jainendra_Kumar,"(1905-01-02)2 January 1905
Kodiyaganj,United Provinces of Agra and Oudh,British India",(1905-01-02)2 January 1905,"Kodiyaganj,United Provinces of Agra and Oudh,British India",24 December 1988(1988-12-24)(aged 83),24 December 1988(1988-12-24)(aged 83),n/a,Indian,,,,"Padma Bhushan
1971
Sahitya Akademi Fellowship
1979
Sahitya Akademi Award
1966
",V. V. Giri,,Yes,No
Mungtu Ram Jaipuria,1971,PadmaBushan,Delhi,Social Work,https://en.wikipedia.org/wiki/Mungtu_Ram_Jaipuria,"Uttar Pradesh, India",n/a,n/a,,n/a,n/a,,,,,1971Padma Bhushan,V. V. Giri,"Social worker, educationist, industrialist",Yes,No
Veni Shankar Jha,1971,PadmaBushan,Madhya Pradesh,Literature & Education,https://en.wikipedia.org/wiki/Veni_Shankar_Jha,"Madhya Pradesh, India",n/a,n/a,,n/a,n/a,,,,,1971Padma Bhushan,V. V. Giri,Educationist,Yes,No
Raj Kapoor,1971,PadmaBushan,Punjab,Arts,https://en.wikipedia.org/wiki/Raj_Kapoor,"Shrishti Nath Kapoor[1]
(1924-12-14)14 December 1924
Peshawar,North-West Frontier Province,India
(present-dayKhyber Pakhtunkhwa,Pakistan)",Shrishti Nath Kapoor[1],"(1924-12-14)14 December 1924
Peshawar,North-West Frontier Province,India
(present-dayKhyber Pakhtunkhwa,Pakistan)","2 June 1988(1988-06-02)(aged 63)
New Delhi,India",2 June 1988(1988-06-02)(aged 63),"New Delhi,India",Indian,Krishna Malhotra​​(m.1946⁠–⁠1988)​,,,Full list,V. V. Giri,Actorproducerdirector,Yes,No
A. Vithal alias Dhananjay Keer,1971,PadmaBushan,Maharashtra,Literature & Education,https://en.wikipedia.org/wiki/Dhananjay_Keer,"(1913-04-23)April 23, 1913
Ratnagiri, Maharashtra","(1913-04-23)April 23, 1913","Ratnagiri, Maharashtra",12 May 1984(1984-05-13)(aged 71),12 May 1984(1984-05-13)(aged 71),n/a,Indian,,,,Padma Bhushan,V. V. Giri,Biographer,Yes,No
Amir Khan,1971,PadmaBushan,Maharashtra,Arts,https://en.wikipedia.org/wiki/Amir_Khan_(singer),"(1912-08-15)15 August 1912[1]
Kalanaur,British India[2][1][3][a]",(1912-08-15)15 August 1912[1],"Kalanaur,British India[2][1][3][a]","13 February 1974(1974-02-13)(aged 61)[4][5]
Calcutta,West Bengal,India",13 February 1974(1974-02-13)(aged 61)[4][5],"Calcutta,West Bengal,India",,,,,,V. V. Giri,,Yes,No
Nissar Hussain Khan,1971,PadmaBushan,Uttar Pradesh,Arts,https://en.wikipedia.org/wiki/Nissar_Hussain_Khan,,n/a,n/a,,n/a,n/a,,,,,,V. V. Giri,,Yes,No
P. Kalathil Kunju Kurup,1971,PadmaBushan,Kerala,Arts,https://en.wikipedia.org/wiki/Guru_Kunchu_Kurup,,n/a,n/a,,n/a,n/a,,,,,,V. V. Giri,,Yes,No
R. K. Laxman,1971,PadmaBushan,Maharashtra,Arts,https://en.wikipedia.org/wiki/R._K._Laxman,"Rasipuram Krishnaswami Laxman
(1921-10-24)October 24, 1921
Mysore,Kingdom of Mysore,British India(present-dayKarnataka,India)","(1921-10-24)October 24, 1921",n/a,"January 26, 2015(2015-01-26)(aged 93)
Pune,Maharashtra,India","January 26, 2015(2015-01-26)(aged 93)","Pune,Maharashtra,India",Indian,Kumari Kamala,,,"Padma Bhushan
Padma Vibhushan
Ramon Magsaysay Award",V. V. Giri,"Cartoonist,illustrator",Yes,No
Shantilal Jamnadas Mehta,1971,PadmaBushan,Maharashtra,Medicine,https://en.wikipedia.org/wiki/Shantilal_Jamnadas_Mehta,"(1905-01-10)10 January 1905
Surendranagar district,Saurashtra,Gujarat, India",(1905-01-10)10 January 1905,"Surendranagar district,Saurashtra,Gujarat, India",21 June 1997(1997-06-21)(aged 92),21 June 1997(1997-06-21)(aged 92),n/a,,Champaben,,,"Padma Bhushan
RCSHallett Prize",V. V. Giri,"Surgeon
Medical academic",Yes,No
Ved Rattan Mohan,1971,PadmaBushan,Uttar Pradesh,Trade & Industry,https://en.wikipedia.org/wiki/Ved_Rattan_Mohan,"Ghaziabad,Uttar Pradesh, India",n/a,n/a,1973,1973,n/a,,,,,1967Padma Shri1971Padma Bhushan,V. V. Giri,Entrepreneur,Yes,No
Kedar Nath Mookerjee,1971,PadmaBushan,West Bengal,Trade & Industry,not available,URL not available,n/a,n/a,URL not available,n/a,n/a,URL not available,URL not available,URL not available,URL not available,URL not available,V. V. Giri,URL not available,Yes,No
Santosh Kumar Mukerji,1971,PadmaBushan,Madhya Pradesh,Medicine,not available,URL not available,n/a,n/a,URL not available,n/a,n/a,URL not available,URL not available,URL not available,URL not available,URL not available,V. V. Giri,URL not available,Yes,No
Bishnupada Mukhopadhyaya,1971,PadmaBushan,Bihar,Medicine,https://en.wikipedia.org/wiki/Bishnupada_Mukhopadhyaya,"1 March 1903
Barrackpore, North 24 Parganas,West Bengal, India",1 March 1903,"Barrackpore, North 24 Parganas,West Bengal, India","30 July 1979
KolkataWest Bengal",30 July 1979,KolkataWest Bengal,,,,,1971Padma Bhushan,V. V. Giri,Orthopedic surgeon,Yes,No
Kalindi Charan Panigrahi,1971,PadmaBushan,Odisha,Literature & Education,https://en.wikipedia.org/wiki/Kalindi_Charan_Panigrahi,"(1901-07-02)July 2, 1901[1]
Biswanathpur, Puri, India[2]","(1901-07-02)July 2, 1901[1]","Biswanathpur, Puri, India[2]","May 15, 1991(1991-05-15)(aged 89)[2][3]
Cuttack","May 15, 1991(1991-05-15)(aged 89)[2][3]",Cuttack,,,,,Padma Bhushan,V. V. Giri,,Yes,No
Manibhai J. Patel,1971,PadmaBushan,Madhya Pradesh,Trade & Industry,https://en.wikipedia.org/wiki/Manibhai_J._Patel,"(1920-12-06)6 December 1920
Nadiad,Kheda district,Gujarat, India",(1920-12-06)6 December 1920,"Nadiad,Kheda district,Gujarat, India","12 June 1996(1996-06-12)(aged 75)
Mumbai,Maharashtra, India",12 June 1996(1996-06-12)(aged 75),"Mumbai,Maharashtra, India",,,,,1971Padma Bhushan,V. V. Giri,"Industrialist, politician, writer",Yes,No
D. K. Pattammal,1971,PadmaBushan,Tamil Nadu,Arts,https://en.wikipedia.org/wiki/D._K._Pattammal,(1919-03-19)19 March 1919,(1919-03-19)19 March 1919,n/a,"16 July 2009(2009-07-16)(aged 90)
Chennai, India",16 July 2009(2009-07-16)(aged 90),"Chennai, India",,,,,,V. V. Giri,,Yes,No
Krishnarao Phulambrikar,1971,PadmaBushan,Maharashtra,Arts,https://en.wikipedia.org/wiki/Krishnarao_Phulambrikar,"20 January 1898
Devachi Alandi,Maharashtra, India",20 January 1898,"Devachi Alandi,Maharashtra, India","(1974-10-20)20 October 1974
Pune",(1974-10-20)20 October 1974,Pune,,Radhabai Phulambrikar,,,"Padma Bhushan
Sangeet Natak Akademi Fellowship
Vishnudas Bhave Gold Medal",V. V. Giri,"Classical musician
Vocalist, Film and Drama artist",Yes,No
Venkatarama Ramalingam Pillai,1971,PadmaBushan,Tamil Nadu,Literature & Education,https://en.wikipedia.org/wiki/Venkatarama_Ramalingam_Pillai,"(1888-10-19)19 October 1888
Namakkal,Madras PresidencyBritish India",(1888-10-19)19 October 1888,"Namakkal,Madras PresidencyBritish India",24 August 1972(1972-08-24)(aged 83),24 August 1972(1972-08-24)(aged 83),n/a,,,,,,V. V. Giri,,Yes,No
Vulimiri Ramalingaswami,1971,PadmaBushan,Tamil Nadu,Medicine,https://en.wikipedia.org/wiki/Vulimiri_Ramalingaswami,"8 August 1921
Srikakulam,Madras Presidency,British India",8 August 1921,"Srikakulam,Madras Presidency,British India",28 May 2001(2001-05-28)(aged 79),28 May 2001(2001-05-28)(aged 79),n/a,Indian,,,"All India Institute of Medical Sciences,
Indian Council of Medical Research,
Indian National Science Academy",,V. V. Giri,,Yes,No
Suresh Chandra Roy,1971,PadmaBushan,West Bengal,Trade & Industry,not available,URL not available,n/a,n/a,URL not available,n/a,n/a,URL not available,URL not available,URL not available,URL not available,URL not available,V. V. Giri,URL not available,Yes,No
Pandurang Vasudeo Sukhatme,1971,PadmaBushan,—[A],Science & Engineering,https://en.wikipedia.org/wiki/Pandurang_Vasudeo_Sukhatme,"July 27, 1911
Budh, Satara district, Maharashtra","July 27, 1911","Budh, Satara district, Maharashtra","January 28, 1997(1997-01-28)(aged 85)","January 28, 1997(1997-01-28)(aged 85)",n/a,,,,,,V. V. Giri,statistician,Yes,No
Pichu Sambamoorthi,1971,PadmaBushan,Tamil Nadu,Arts,https://en.wikipedia.org/wiki/Pichu_Sambamoorthi,"(1901-02-14)14 February 1901
Bitragunta,Madras Presidency, India",(1901-02-14)14 February 1901,"Bitragunta,Madras Presidency, India",23 October 1973(1973-10-23)(aged 72),23 October 1973(1973-10-23)(aged 72),n/a,,Anandavalli,,,"Padma Bhushan
Sangeetha Kalanidhi",V. V. Giri,"Musicologist
Writer",Yes,No
Devchand Chhaganlal Shah,1971,PadmaBushan,Maharashtra,Social Work,not available,URL not available,n/a,n/a,URL not available,n/a,n/a,URL not available,URL not available,URL not available,URL not available,URL not available,V. V. Giri,URL not available,Yes,No
Madan Mohan Singh,1971,PadmaBushan,Delhi,Medicine,not available,URL not available,n/a,n/a,URL not available,n/a,n/a,URL not available,URL not available,URL not available,URL not available,URL not available,V. V. Giri,URL not available,Yes,No
Bhagwati Charan Verma,1971,PadmaBushan,Uttar Pradesh,Literature & Education,https://en.wikipedia.org/wiki/Bhagwati_Charan_Verma,"(1903-08-30)30 August 1903
Safipur,United Provinces of Agra and Oudh,British India",(1903-08-30)30 August 1903,"Safipur,United Provinces of Agra and Oudh,British India","5 October 1981(1981-10-05)(aged 78)
New Delhi,India",5 October 1981(1981-10-05)(aged 78),"New Delhi,India",Indian,,,,"Padma Bhushan
Sahitya Akademi Award",V. V. Giri,Writer,Yes,No
Parmeshwari Lal Verma,1971,PadmaBushan,Chandigarh,Civil Service,https://en.wikipedia.org/wiki/Parmeshwari_Lal_Verma,"(1920-12-06)December 6, 1920
Punjab, India","(1920-12-06)December 6, 1920","Punjab, India",,n/a,n/a,,,,,1971Padma Bhushan,V. V. Giri,Civil engineer,Yes,No
Kasturi Lal Vij,1971,PadmaBushan,Delhi,Civil Service,not available,URL not available,n/a,n/a,URL not available,n/a,n/a,URL not available,URL not available,URL not available,URL not available,URL not available,V. V. Giri,URL not available,Yes,No
Jagjit Singh Aurora,1972,PadmaBushan,Delhi,Civil Service,https://en.wikipedia.org/wiki/Jagjit_Singh_Aurora,"(1916-02-13)13 February 1916
Kala Gujran,Jhelum District,Punjab,British India(now inPunjab, Pakistan)",(1916-02-13)13 February 1916,"Kala Gujran,Jhelum District,Punjab,British India(now inPunjab, Pakistan)","3 May 2005(2005-05-03)(aged 89)
New Delhi, India",3 May 2005(2005-05-03)(aged 89),"New Delhi, India",,,,,"Param Vishisht Seva Medal
Padma Bhushan",V. V. Giri,,No,No
Madhavrao Bagal,1972,PadmaBushan,Maharashtra,Social Work,https://en.wikipedia.org/wiki/Madhavrao_Bagal,"28 May 1895
Kolhapur,Kolhapur State,British India",28 May 1895,"Kolhapur,Kolhapur State,British India","6 March 1986
Kolhapur, India",6 March 1986,"Kolhapur, India",Indian,,,,,V. V. Giri,"Painter, writer, independence activist and politician",No,No
Surinder Singh Bedi,1972,PadmaBushan,Delhi,Civil Service,not available,URL not available,n/a,n/a,URL not available,n/a,n/a,URL not available,URL not available,URL not available,URL not available,URL not available,V. V. Giri,URL not available,No,No
Gopal Gurunath Bewoor,1972,PadmaBushan,Karnataka,Civil Service,https://en.wikipedia.org/wiki/Gopal_Gurunath_Bewoor,"(1916-08-11)11 August 1916
Seoni, Madhya Pradesh",(1916-08-11)11 August 1916,"Seoni, Madhya Pradesh",24 October 1989(1989-10-24)(aged 73),24 October 1989(1989-10-24)(aged 73),n/a,,Radhika Gokhale,,,"Param Vishisht Seva Medal
Padma Bhushan(1972)",V. V. Giri,,No,No
Gulestan Rustom Billimoria,1972,PadmaBushan,Maharashtra,Social Work,https://en.wikipedia.org/wiki/Gulestan_Rustom_Billimoria,"Mumbai,Maharashtra, India",n/a,n/a,,n/a,n/a,,,,,1972Padma Bhushan,V. V. Giri,"Philanthropist, social worker, writer",No,No
Kunhiraman Palat Candeth,1972,PadmaBushan,Delhi,Civil Service,https://en.wikipedia.org/wiki/Kunhiraman_Palat_Candeth,"23 September 1916
Ottapalam,Kerala,India",23 September 1916,"Ottapalam,Kerala,India",19 May 2003,19 May 2003,n/a,,,,,"Padma Bhushan
Param Vishisht Seva Medal",V. V. Giri,,No,No
Ram Narayan Chakravarti,1972,PadmaBushan,West Bengal,Science & Engineering,https://en.wikipedia.org/wiki/Ram_Narayan_Chakravarti,"1916
West Bengal, India",1916,"West Bengal, India",(2007-05-31)31 May 2007,(2007-05-31)31 May 2007,n/a,,,,,Padma Bhushan,V. V. Giri,"Phytochemist
Organic chemist",No,No
Pran Nath Chhutani,1972,PadmaBushan,Chandigarh,Literature & Education,not available,URL not available,n/a,n/a,URL not available,n/a,n/a,URL not available,URL not available,URL not available,URL not available,URL not available,V. V. Giri,URL not available,No,No
Yashodhara Dasappa,1972,PadmaBushan,Karnataka,Social Work,https://en.wikipedia.org/wiki/Yashodhara_Dasappa,"(1905-05-28)28 May 1905[1]
Bangalore,British India",(1905-05-28)28 May 1905[1],"Bangalore,British India",1980,1980,n/a,,H. C. Dasappa,,,Padma Bhushan,V. V. Giri,"Social reformer
Politician
Indian independence activist
Gandhian",No,No
Maheshwar Dayal,1972,PadmaBushan,Delhi,Social Work,not available,URL not available,n/a,n/a,URL not available,n/a,n/a,URL not available,URL not available,URL not available,URL not available,URL not available,V. V. Giri,URL not available,No,No
Hari Chand Dewan,1972,PadmaBushan,Punjab,Civil Service,https://en.wikipedia.org/wiki/Hari_Chand_Dewan,20 September 1921,20 September 1921,n/a,22 August 2017,22 August 2017,n/a,,,,,,V. V. Giri,,No,No
Minoo Merwan Engineer,1972,PadmaBushan,Gujarat,Civil Service,https://en.wikipedia.org/wiki/Minoo_Merwan_Engineer,1 Dec 1921,1 Dec 1921,n/a,1997,1997,n/a,,,,,"Padma Bhushan
Param Vishisht Seva Medal
Maha Vir Chakra
Distinguished Flying Cross",V. V. Giri,,No,No
Benoy Bhushan Ghosh,1972,PadmaBushan,West Bengal,Civil Service,not available,URL not available,n/a,n/a,URL not available,n/a,n/a,URL not available,URL not available,URL not available,URL not available,URL not available,V. V. Giri,URL not available,No,No
Inderjit Singh Gill,1972,PadmaBushan,Maharashtra,Civil Service,https://en.wikipedia.org/wiki/Inderjit_Singh_Gill,"(1922-01-16)January 16, 1922[1][2]
United Kingdom[3]","(1922-01-16)January 16, 1922[1][2]",United Kingdom[3],"May 30, 2001(2001-05-30)(aged 79)[4]
Chennai,Tamil Nadu,India","May 30, 2001(2001-05-30)(aged 79)[4]","Chennai,Tamil Nadu,India",,,,,Param Vishisht Seva MedalMilitary Cross,V. V. Giri,,No,No
Mohd. Hayath,1972,PadmaBushan,Karnataka,Civil Service,not available,URL not available,n/a,n/a,URL not available,n/a,n/a,URL not available,URL not available,URL not available,URL not available,URL not available,V. V. Giri,URL not available,No,No
Lakhumal Hiranand Hiranandani,1972,PadmaBushan,Maharashtra,Medicine,https://en.wikipedia.org/wiki/Lakhumal_Hiranand_Hiranandani,"September 1917
Thatta,Bombay Presidency,British India",September 1917,"Thatta,Bombay Presidency,British India","(2013-09-05)5 September 2013
Mumbai,Maharashtra, India",(2013-09-05)5 September 2013,"Mumbai,Maharashtra, India",,Kanta,,,"Padma Bhushan
Dhanvanthari Award
AAO-HNSGolden Award
SAARCMillenium Award
FICCILifetime Achievement Award in Healthcare",V. V. Giri,Otorhinolaryngologist,No,No
L. A. Krishna Iyer,1972,PadmaBushan,Kerala,Science & Engineering,https://en.wikipedia.org/wiki/L._A._Krishna_Iyer,"Kerala, India",n/a,n/a,,n/a,n/a,,,,,Padma Bhushan,V. V. Giri,"Anthropologist
Historian",No,No
Sourendra Nath Kohli,1972,PadmaBushan,Punjab,Civil Service,https://en.wikipedia.org/wiki/Sourendra_Nath_Kohli,"(1916-06-21)21 June 1916
Amritsar,Punjab[1]",(1916-06-21)21 June 1916,"Amritsar,Punjab[1]",21 January 1997(1997-01-21)(aged 80)[2],21 January 1997(1997-01-21)(aged 80)[2],n/a,,,,,"Padma Bhushan
Param Vishist Seva Medal",V. V. Giri,,No,No
Jai Krishna,1972,PadmaBushan,Uttar Pradesh,Civil Service,https://en.wikipedia.org/wiki/Jai_Krishna,,n/a,n/a,,n/a,n/a,,,,,,V. V. Giri,,No,No
Nilakanta Krishnan,1972,PadmaBushan,Tamil Nadu,Civil Service,https://en.wikipedia.org/wiki/Nilakanta_Krishnan,(1919-06-08)8 June 1919[1],(1919-06-08)8 June 1919[1],n/a,"30 January 1982(1982-01-30)(aged 62)[2]
Hyderabad,Andhra Pradesh[2]",30 January 1982(1982-01-30)(aged 62)[2],"Hyderabad,Andhra Pradesh[2]",,,,,"Padma Bhushan
Param Vishisht Seva Medal
Distinguished Service Cross",V. V. Giri,,No,No
Ashwini Kumar,1972,PadmaBushan,Punjab,Civil Service,not available,URL not available,n/a,n/a,URL not available,n/a,n/a,URL not available,URL not available,URL not available,URL not available,URL not available,V. V. Giri,URL not available,No,No
Pran Nath Luthra,1972,PadmaBushan,Punjab,Civil Service,https://en.wikipedia.org/wiki/Pran_Nath_Luthra,"1917
India",1917,India,"2000
India",2000,India,,,,,1972Padma Bhushan,V. V. Giri,"Civil service officer, writer",No,No
Amrut V. Mody,1972,PadmaBushan,Maharashtra,Civil Service,not available,URL not available,n/a,n/a,URL not available,n/a,n/a,URL not available,URL not available,URL not available,URL not available,URL not available,V. V. Giri,URL not available,No,No
N. G. Krishna Murti,1972,PadmaBushan,Delhi,Civil Service,https://en.wikipedia.org/wiki/N._G._Krishna_Murti,"(1910-02-10)10 February 1910
Bapatla,Andhra Pradesh, India",(1910-02-10)10 February 1910,"Bapatla,Andhra Pradesh, India","24 February 1995(1995-02-24)(aged 85)[1]
Mumbai, Maharashtra]], India",24 February 1995(1995-02-24)(aged 85)[1],"Mumbai, Maharashtra]], India",,,,,1963Padma Shri1972Padma Bhushan,V. V. Giri,Civil engineer,No,No
T. A. Pai,1972,PadmaBushan,Karnataka,Civil Service,https://en.wikipedia.org/wiki/T._A._Pai,(1920-01-17)17 January 1920,(1920-01-17)17 January 1920,n/a,29 May 1981(1981-05-29)(aged 59),29 May 1981(1981-05-29)(aged 59),n/a,Indian,,,,,V. V. Giri,BankerPolitician,No,No
Vinayakrao Patwardhan,1972,PadmaBushan,Maharashtra,Arts,https://en.wikipedia.org/wiki/Vinayakrao_Patwardhan,"22 July 1898
Miraj, India",22 July 1898,"Miraj, India","23 August 1975(1975-08-23)(aged 77)
Pune, India",23 August 1975(1975-08-23)(aged 77),"Pune, India",Indian,,,,,V. V. Giri,,No,No
Dattatraya Yeshwant Phadke,1972,PadmaBushan,Maharashtra,Science & Engineering,https://en.wikipedia.org/wiki/Dattatraya_Yeshwant_Phadke,,n/a,n/a,,n/a,n/a,Indian,,,,,V. V. Giri,,No,No
Kayalath Pothen Philip,1972,PadmaBushan,Maharashtra,Literature & Education,not available,URL not available,n/a,n/a,URL not available,n/a,n/a,URL not available,URL not available,URL not available,URL not available,URL not available,V. V. Giri,URL not available,No,No
Bhalchandra Nilkanth Purandare,1972,PadmaBushan,Maharashtra,Medicine,https://en.wikipedia.org/wiki/Bhalchandra_Nilkanth_Purandare,"27 October 1911
Maharashtra, India",27 October 1911,"Maharashtra, India",10 November 1990,10 November 1990,n/a,,,,,Padma Bhushan,V. V. Giri,Gynecologist,No,No
Tapishwar Narain Raina,1972,PadmaBushan,Jammu & Kashmir,Civil Service,https://en.wikipedia.org/wiki/Tapishwar_Narain_Raina,"(1921-01-24)24 January 1921
Srinagar,India",(1921-01-24)24 January 1921,"Srinagar,India",19 May 1980(1980-05-19)(aged 59)[1],19 May 1980(1980-05-19)(aged 59)[1],n/a,,,,,"Padma Bhushan
Maha Vir Chakra
Mentioned in dispatches",V. V. Giri,,No,No
Bharat Ram,1972,PadmaBushan,Delhi,Trade & Industry,https://en.wikipedia.org/wiki/Bharat_Ram,,n/a,n/a,,n/a,n/a,,,,,,V. V. Giri,,No,No
Mohinder Singh Randhawa,1972,PadmaBushan,Punjab,Science & Engineering,https://en.wikipedia.org/wiki/Mohinder_Singh_Randhawa,"(1909-02-02)2 February 1909
Zira,Punjab, India",(1909-02-02)2 February 1909,"Zira,Punjab, India","3 March 1986(1986-03-03)(aged 77)
Kharar,Punjab, India",3 March 1986(1986-03-03)(aged 77),"Kharar,Punjab, India",Indian,Iqbal Kaur Randhawa,,,,V. V. Giri,Civil servantPhycologistdirector general of rehabilitation,No,No
Adya Rangacharya,1972,PadmaBushan,Karnataka,Literature & Education,https://en.wikipedia.org/wiki/Adya_Rangacharya,"R. V. Jagirdar
(1904-09-26)26 September 1904
Agarkhed,Bijapur district, Karnataka",(1904-09-26)26 September 1904,n/a,"17 October 1984(1984-10-17)(aged 79)
Bangalore,Karnataka, India",17 October 1984(1984-10-17)(aged 79),"Bangalore,Karnataka, India",Indian,Sharada Adya[1],,,"Sangeet Natak Akademi Award(1967)
Sahitya Akademi Award(1971)
Padma Bhushan(1972)",V. V. Giri,"Poet, novelist, playwright, translator, actor, critic, scholar",No,No
M. B. Ramachandra Rao,1972,PadmaBushan,Delhi,Science & Engineering,https://en.wikipedia.org/wiki/M._B._Ramachandra_Rao,"(1906-08-05)5 August 1906
Karnataka, India",(1906-08-05)5 August 1906,"Karnataka, India",4 September 1992(1992-09-04)(aged 86),4 September 1992(1992-09-04)(aged 86),n/a,,,,,Padma Bhushan,V. V. Giri,Geophysicist,No,No
Ayyagari Sambasiva Rao,1972,PadmaBushan,Andhra Pradesh,Science & Engineering,https://en.wikipedia.org/wiki/A._S._Rao,"20 September 1914
Mogallu,West Godavari district",20 September 1914,"Mogallu,West Godavari district","31 October 2003
Hyderabad",31 October 2003,Hyderabad,Indian,,,,Padma BhushanAward,V. V. Giri,,No,No
Sujoy B. Roy,1972,PadmaBushan,West Bengal,Medicine,https://en.wikipedia.org/wiki/Sujoy_B._Roy,Myanmar,n/a,n/a,"(1976-03-25)25 March 1976
New Delhi, India",(1976-03-25)25 March 1976,"New Delhi, India",,,,,"Padma Bhushan
ICMRBasanti Devi Amir Chand Prize
FICCIAward",V. V. Giri,"Cardiologist
Medical administrator",No,No
Khusro Faramurz Rustamji,1972,PadmaBushan,Madhya Pradesh,Civil Service,https://en.wikipedia.org/wiki/Khusro_Faramurz_Rustamji,,n/a,n/a,,n/a,n/a,,,,,,V. V. Giri,,No,No
Sirtaj Singh Sahi,1972,PadmaBushan,Chandigarh,Civil Service,not available,URL not available,n/a,n/a,URL not available,n/a,n/a,URL not available,URL not available,URL not available,URL not available,URL not available,V. V. Giri,URL not available,No,No
Shantilal C. Sheth,1972,PadmaBushan,Maharashtra,Medicine,https://en.wikipedia.org/wiki/Shantilal_C._Sheth,"(1912-10-29)October 29, 1912
Palitana,Gujarat, India","(1912-10-29)October 29, 1912","Palitana,Gujarat, India","January 24, 1990(1990-01-24)(aged 77)","January 24, 1990(1990-01-24)(aged 77)",n/a,,Hiralaxmi Sheth,,,Padma Bhushan,V. V. Giri,Pediatrician,No,No
Baldev Singh,1972,PadmaBushan,Delhi,Medicine,not available,URL not available,n/a,n/a,URL not available,n/a,n/a,URL not available,URL not available,URL not available,URL not available,URL not available,V. V. Giri,URL not available,No,No
Khem Karan Singh,1972,PadmaBushan,Punjab,Civil Service,https://en.wikipedia.org/wiki/Khem_Karan_Singh,"(1921-03-05)March 5, 1921","(1921-03-05)March 5, 1921",n/a,"July 26, 2016(2016-07-26)(aged 97)","July 26, 2016(2016-07-26)(aged 97)",n/a,,,,,Padma BhushanMaha Vir Chakra,V. V. Giri,,No,No
Sartaj Singh,1972,PadmaBushan,Punjab,Civil Service,https://en.wikipedia.org/wiki/Sartaj_Singh_(general),,n/a,n/a,23 April 1998,23 April 1998,n/a,,,,,George MedalPadma Bhushan,V. V. Giri,,No,No
Sagat Singh,1972,PadmaBushan,Punjab,Civil Service,https://en.wikipedia.org/wiki/Sagat_Singh,"(1919-07-14)14 July 1919
Kusumdesar,Churu,Rajasthan,British India",(1919-07-14)14 July 1919,"Kusumdesar,Churu,Rajasthan,British India","26 September 2001(2001-09-26)(aged 82)
New Delhi,India",26 September 2001(2001-09-26)(aged 82),"New Delhi,India",,,,,"Padma Bhushan
Param Vishisht Seva Medal",V. V. Giri,,No,No
Birendranath Sircar,1972,PadmaBushan,Bihar,Arts,https://en.wikipedia.org/wiki/Birendranath_Sircar,"5 July 1901
Bhagalpur,Bengal Presidency,British India",5 July 1901,"Bhagalpur,Bengal Presidency,British India","(1980-11-28)28 November 1980
Calcutta, India",(1980-11-28)28 November 1980,"Calcutta, India",,,,,,V. V. Giri,film producer,No,No
Papanasam Sivan,1972,PadmaBushan,Tamil Nadu,Arts,https://en.wikipedia.org/wiki/Papanasam_Sivan,"Raamayya Sivan
26 September 1890
Polagam, Thanjavur district, Tamil Nadu",26 September 1890,n/a,1 October 1973(1973-10-01)(aged 83),1 October 1973(1973-10-01)(aged 83),n/a,,,,,,V. V. Giri,"singer, composer",No,No
Chandrika Prasad Srivastava,1972,PadmaBushan,—[B],Civil Service,https://en.wikipedia.org/wiki/Chandrika_Prasad_Srivastava,"July 8, 1920","July 8, 1920",n/a,"July 22, 2013(2013-07-22)(aged 93)","July 22, 2013(2013-07-22)(aged 93)",n/a,,Nirmala Salve​​(m.1947; died 2011)​,,,,V. V. Giri,"diplomat, administrator",No,No
M. S. Swaminathan,1972,PadmaBushan,Tamil Nadu,Science & Engineering,https://en.wikipedia.org/wiki/M._S._Swaminathan,"(1925-08-07)7 August 1925(age 96)
Kumbakonam,Tanjore District,Madras Presidency,British India
(present dayThanjavur,Tamil Nadu, India)",(1925-08-07)7 August 1925(age 96),"Kumbakonam,Tanjore District,Madras Presidency,British India
(present dayThanjavur,Tamil Nadu, India)",,n/a,n/a,Indian,Mina Swaminathan,,Indian Council of Agricultural Research,1991Tyler Prize for Environmental Achievement1972Padma Bhushan1987World Food Prize1989Padma Vibhushan1971Ramon Magsaysay Award1967Padma Shri1961Shanti Swarup Bhatnagar Award,V. V. Giri,,No,No
