Recipients,Year,Award Type,State,Field,WikiLink,Born,Birth Date,Place of Birth,Died,Death Date,Place of Death,Nationality,Spouse,Alma mater,Institutions,Other Awards including Padma,Awarded By,Occupation,Election Year,Posthumus
Sardarilal Mathradas Nanda,1972,PadmaVibhushan,Delhi,Civil Service,https://en.wikipedia.org/wiki/Sardarilal_Mathradas_Nanda,"(1915-10-10)10 October 1915
Punjab,British India",(1915-10-10)10 October 1915,"Punjab,British India","11 May 2009(2009-05-11)(aged 93)
New Delhi,India",11 May 2009(2009-05-11)(aged 93),"New Delhi,India",,,,,"Padma Vibhushan
Param Vishisht Seva Medal
Ati Vishisht Seva Medal",V. V. Giri,,No,No
Ghulam Mohammed Sadiq[i]#,1972,PadmaVibhushan,Jammu and Kashmir,Public Affairs,https://en.wikipedia.org/wiki/Ghulam_Mohammed_Sadiq,,n/a,n/a,,n/a,n/a,,,,,,V. V. Giri,,No,Yes
Vikram Sarabhai[ii]#,1972,PadmaVibhushan,Gujarat,Science & Engineering,https://en.wikipedia.org/wiki/Vikram_Sarabhai,"Vikram Ambalal Sarabhai
(1919-08-12)12 August 1919[1]
Ahmedabad,Bombay Presidency,British India",(1919-08-12)12 August 1919[1],n/a,"30 December 1971(1971-12-30)(aged 52)
Halcyon Castle,Trivandrum,Kerala,India",30 December 1971(1971-12-30)(aged 52),"Halcyon Castle,Trivandrum,Kerala,India",,Mrinalini Sarabhai,,"Indian Space Research Organisation
Physical Research Laboratory","Padma Bhushan(1966)
Padma Vibhushan(posthumously) (1972)",V. V. Giri,,No,Yes
Hormasji Maneckji Seervai,1972,PadmaVibhushan,Maharashtra,Literature & Education,https://en.wikipedia.org/wiki/Hormasji_Maneckji_Seervai,"Hormasji ""Homi"" Maneckji Seervai
(1906-12-05)5 December 1906
Mumbai, Maharashtra, India",(1906-12-05)5 December 1906,n/a,26 January 1996(1996-01-26)(aged 89),26 January 1996(1996-01-26)(aged 89),n/a,,Feroza Seervai,,,,V. V. Giri,"1957–1974
Advocate General of Maharashtra
Senior Advocate; jurist",No,No
Basanti Devi,1973,PadmaVibhushan,West Bengal,Civil Service,https://en.wikipedia.org/wiki/Basanti_Devi,(1880-03-23)23 March 1880,(1880-03-23)23 March 1880,n/a,7 May 1974 (aged 94),7 May 1974 (aged 94),n/a,Indian,Chittaranjan Das,,,Padma Vibhushan(1973),V. V. Giri,,No,No
U. N. Dhebar,1973,PadmaVibhushan,Gujarat,Social Work,https://en.wikipedia.org/wiki/U._N._Dhebar,,n/a,n/a,,n/a,n/a,,,,,,V. V. Giri,,No,No
Daulat Singh Kothari,1973,PadmaVibhushan,Delhi,Science & Engineering,https://en.wikipedia.org/wiki/Daulat_Singh_Kothari,"6 July 1906
Udaipur,Rajasthan, India",6 July 1906,"Udaipur,Rajasthan, India","4 February 1993 (aged 86)
Delhi, India",4 February 1993 (aged 86),"Delhi, India",,,,,,V. V. Giri,,No,No
Nellie Sengupta,1973,PadmaVibhushan,West Bengal,Social Work,https://en.wikipedia.org/wiki/Nellie_Sengupta,,n/a,n/a,,n/a,n/a,,,,,,V. V. Giri,,No,No
Nagendra Singh,1973,PadmaVibhushan,Rajasthan,Public Affairs,https://en.wikipedia.org/wiki/Nagendra_Singh,"(1914-03-18)18 March 1914
Dungarpur, Rajasthan",(1914-03-18)18 March 1914,"Dungarpur, Rajasthan","11 December 1988(1988-12-11)(aged 74)
The Hague, Netherlands",11 December 1988(1988-12-11)(aged 74),"The Hague, Netherlands",Indian,,"Mayo College
St. John's College,Cambridge",,,V. V. Giri,,No,No
Thirumalraya Swaminathan,1973,PadmaVibhushan,Tamil Nadu,Civil Service,https://en.wikipedia.org/wiki/T._Swaminathan,,n/a,n/a,,n/a,n/a,,,,,,V. V. Giri,,No,No
Niren De,1974,PadmaVibhushan,West Bengal,Public Affairs,https://en.wikipedia.org/wiki/Niren_De,"(1908-08-17)17 August 1908[2]
Calcutta,British India",(1908-08-17)17 August 1908[2],"Calcutta,British India",,n/a,n/a,,,,,Padma Vibhushan(1974),V. V. Giri,,No,No
Benode Behari Mukherjee,1974,PadmaVibhushan,West Bengal,Arts,https://en.wikipedia.org/wiki/Benode_Behari_Mukherjee,"7 February 1904
West Bengal,India",7 February 1904,"West Bengal,India","11 November 1980 (aged 76)
India",11 November 1980 (aged 76),India,Indian,,,,,V. V. Giri,,No,No
V. K. R. V. Rao,1974,PadmaVibhushan,Karnataka,Civil Service,https://en.wikipedia.org/wiki/V._K._R._V._Rao,"Vijayendra Kasturi Ranga Varadaraja Rao
(1908-07-08)8 July 1908
Kancheepuram,Madras Presidency,British India",(1908-07-08)8 July 1908,n/a,25 July 1991(1991-07-25)(aged 83),25 July 1991(1991-07-25)(aged 83),n/a,,,,,Padma Vibhushan(1974),V. V. Giri,"Economist, politician",No,No
Harish Chandra Sarin,1974,PadmaVibhushan,Delhi,Civil Service,https://en.wikipedia.org/wiki/Harish_Chandra_Sarin,"(1914-05-27)May 27, 1914
Deoria,Uttar Pradesh, India","(1914-05-27)May 27, 1914","Deoria,Uttar Pradesh, India","January 27, 1997(1997-01-27)(aged 82)","January 27, 1997(1997-01-27)(aged 82)",n/a,,Pushpa Sarin,,,1974Padma Vibhushan1993IMFAward,V. V. Giri,"Civil servant, writer",No,No
C. D. Deshmukh,1975,PadmaVibhushan,Andhra Pradesh,Public Affairs,https://en.wikipedia.org/wiki/C._D._Deshmukh,"(1896-01-14)14 January 1896
Nate,Bombay Presidency(nowMaharashtra),British India",(1896-01-14)14 January 1896,"Nate,Bombay Presidency(nowMaharashtra),British India","2 October 1982(1982-10-02)(aged 86)
Hyderabad,Andhra Pradesh(nowTelangana), India",2 October 1982(1982-10-02)(aged 86),"Hyderabad,Andhra Pradesh(nowTelangana), India",,"Rosina 1919-49 (her death)
Durgabai1953-1981 (her death)",University of Cambridge,,Padma Vibushan(1975),Fakhruddin Ali Ahmed,,No,No
Durgabai Deshmukh,1975,PadmaVibhushan,Maharashtra,Social Work,https://en.wikipedia.org/wiki/Durgabai_Deshmukh,"(1909-07-15)15 July 1909
Rajahmundry,Madras Presidency,British India(nowAndhra Pradesh,India)",(1909-07-15)15 July 1909,"Rajahmundry,Madras Presidency,British India(nowAndhra Pradesh,India)","9 May 1981(1981-05-09)(aged 71)
Narasannapeta,Andhra Pradesh,India",9 May 1981(1981-05-09)(aged 71),"Narasannapeta,Andhra Pradesh,India",,Chintaman Deshmukh​(m.1953)​,,,Padma Vibhushan,Fakhruddin Ali Ahmed,,No,No
Mary Clubwala Jadhav,1975,PadmaVibhushan,Tamil Nadu,Social Work,https://en.wikipedia.org/wiki/Mary_Clubwala_Jadhav,,n/a,n/a,,n/a,n/a,,,,,,Fakhruddin Ali Ahmed,,No,No
Basanti Dulal Nagchaudhuri,1975,PadmaVibhushan,West Bengal,Literature & Education,https://en.wikipedia.org/wiki/Basanti_Dulal_Nagchaudhuri,"(1917-09-06)6 September 1917[1]
Barodi village,Dhaka district,British India",(1917-09-06)6 September 1917[1],"Barodi village,Dhaka district,British India",25 June 2006(2006-06-25)(aged 88)[2],25 June 2006(2006-06-25)(aged 88)[2],n/a,Indian,Dipali Nag,,,Padma Vibhushan,Fakhruddin Ali Ahmed,Physicist,No,No
Raja Ramanna,1975,PadmaVibhushan,Karnataka,Science & Engineering,https://en.wikipedia.org/wiki/Raja_Ramanna,"(1925-01-28)28 January 1925
Tiptur,Princely State of Mysore,British India",(1925-01-28)28 January 1925,"Tiptur,Princely State of Mysore,British India","24 September 2004(2004-09-24)(aged 79)
Mumbai,Maharashtra, India",24 September 2004(2004-09-24)(aged 79),"Mumbai,Maharashtra, India",Indian,,,"Bhabha Atomic Research Centre
Defence Research and Development Organisation
International Atomic Energy Agency
Ministry of Defence
National Institute of Advanced Studies","Padma Shri(1968)
Padma Bhushan(1973)
Padma Vibhushan(1975)",Fakhruddin Ali Ahmed,,No,No
Homi Nusserwanji Sethna,1975,PadmaVibhushan,Maharashtra,Civil Service,https://en.wikipedia.org/wiki/Homi_Sethna,"(1923-08-24)24 August 1923
Mumbai,Bombay Presidency,British India",(1923-08-24)24 August 1923,"Mumbai,Bombay Presidency,British India","5 September 2010(2010-09-05)(aged 87)
Mumbai, India",5 September 2010(2010-09-05)(aged 87),"Mumbai, India",Indian,,,Atomic Energy Commission of India,"Padma Shri(1959)
Padma Bhushan(1966)
Padma Vibhushan(1975)",Fakhruddin Ali Ahmed,,No,No
M. S. Subbulakshmi,1975,PadmaVibhushan,Tamil Nadu,Arts,https://en.wikipedia.org/wiki/M._S._Subbulakshmi,"(1916-09-16)16 September 1916
Madurai,Madras Presidency, India",(1916-09-16)16 September 1916,"Madurai,Madras Presidency, India","11 December 2004(2004-12-11)(aged 88)
Chennai, Tamil Nadu, India",11 December 2004(2004-12-11)(aged 88),"Chennai, Tamil Nadu, India",,,,,,Fakhruddin Ali Ahmed,,No,No
Premlila Vithaldas Thackersey,1975,PadmaVibhushan,Maharashtra,Literature & Education,https://en.wikipedia.org/wiki/Premlila_Vithaldas_Thackersey,,n/a,n/a,,n/a,n/a,,,,,,Fakhruddin Ali Ahmed,,No,No
Salim Ali,1976,PadmaVibhushan,Uttar Pradesh,Science & Engineering,https://en.wikipedia.org/wiki/Salim_Ali,"(1896-11-12)12 November 1896
Bombay,Bombay Presidency,British India",(1896-11-12)12 November 1896,"Bombay,Bombay Presidency,British India","20 June 1987(1987-06-20)(aged 90)
Bombay,Maharashtra,India",20 June 1987(1987-06-20)(aged 90),"Bombay,Maharashtra,India",Indian,Tehmina Ali,,,"Padma Bhushan(1958)
Padma Vibhushan(1976)
J. Paul Getty Award for Conservation Leadership(1975)",Fakhruddin Ali Ahmed,,No,No
Giani Gurmukh Singh Musafir,1976,PadmaVibhushan,Punjab,Literature & Education,https://en.wikipedia.org/wiki/Giani_Gurmukh_Singh_Musafir,"Gurmukh Singh
(1899-01-15)15 January 1899
Adhwal,Punjab,British Indianow inPakistan",(1899-01-15)15 January 1899,n/a,"18 January 1976(1976-01-18)(aged 77)
Delhi,India",18 January 1976(1976-01-18)(aged 77),"Delhi,India",Indian,Ranjit Kaur,,,,Fakhruddin Ali Ahmed,,No,No
K. Shankar Pillai,1976,PadmaVibhushan,Delhi,Arts,https://en.wikipedia.org/wiki/K._Shankar_Pillai,"(1902-07-31)31 July 1902
Kayamkulam, Kerala",(1902-07-31)31 July 1902,"Kayamkulam, Kerala",26 December 1989(1989-12-26)(aged 87),26 December 1989(1989-12-26)(aged 87),n/a,,,,,Padma Vibhushan(1976),Fakhruddin Ali Ahmed,"cartoonist, writer",No,No
K. R. Ramanathan,1976,PadmaVibhushan,Kerala,Science & Engineering,https://en.wikipedia.org/wiki/K._R._Ramanathan,"Kalpathi Ramakrishna Ramanathan
(1893-02-28)28 February 1893
Kalpathi,Palakkad,Madras Presidency,British India",(1893-02-28)28 February 1893,n/a,31 December 1984(1984-12-31)(aged 91),31 December 1984(1984-12-31)(aged 91),n/a,Indian,,,,"Fellow,Indian Academy of Sciences, 1934Padma Bhushan, 1965Padma Vibhushan, 1976The Aryabhata Medal, awarded byIndian National Science Academy, 1977",Fakhruddin Ali Ahmed,,No,No
Satyajit Ray,1976,PadmaVibhushan,West Bengal,Arts,https://en.wikipedia.org/wiki/Satyajit_Ray,"(1921-05-02)2 May 1921
Calcutta,Bengal Presidency,British India(now inWest Bengal,India)",(1921-05-02)2 May 1921,"Calcutta,Bengal Presidency,British India(now inWest Bengal,India)","23 April 1992(1992-04-23)(aged 70)
Calcutta,West Bengal,India",23 April 1992(1992-04-23)(aged 70),"Calcutta,West Bengal,India",Indian,Bijoya Ray​(m.1949⁠–⁠1992)​,,,Full list,Fakhruddin Ali Ahmed,Film directorwriterillustratorLyricist,No,No
Kalu Lal Shrimali,1976,PadmaVibhushan,Uttar Pradesh,Literature & Education,https://en.wikipedia.org/wiki/K._L._Shrimali,,n/a,n/a,,n/a,n/a,,,,,,Fakhruddin Ali Ahmed,,No,No
Bashir Hussain Zaidi,1976,PadmaVibhushan,Delhi,Literature & Education,https://en.wikipedia.org/wiki/Bashir_Hussain_Zaidi,30 July 1898,30 July 1898,n/a,(1992-03-29)29 March 1992,(1992-03-29)29 March 1992,n/a,,,,,"Padma Vibhushan, 1976",Fakhruddin Ali Ahmed,,No,No
T. Balasaraswati,1977,PadmaVibhushan,Tamil Nadu,Arts,https://en.wikipedia.org/wiki/Balasaraswati,"13 May 1918
Madras Presidency,British India",13 May 1918,"Madras Presidency,British India","9 February 1984 (aged 65)
Madras, India",9 February 1984 (aged 65),"Madras, India",,,,,,Fakhruddin Ali Ahmed,,Yes,No
Ali Yavar Jung,1977,PadmaVibhushan,Andhra Pradesh,Public Affairs,https://en.wikipedia.org/wiki/Ali_Yavar_Jung,"February 1906
Hyderabad,Hyderabad State(nowHyderabad,Telangana,India)",February 1906,"Hyderabad,Hyderabad State(nowHyderabad,Telangana,India)","11 December 1976(1976-12-11)(aged 70)
Raj Bhavan,Mumbai,Maharashtra,India",11 December 1976(1976-12-11)(aged 70),"Raj Bhavan,Mumbai,Maharashtra,India",,"Alys Iffrig (known after her second marriage as Alys Hyderi)
Zehra Ali Yavar Jung","Queen's College,Oxford",,"Padma Vibhushan
Padma Bhushan",Fakhruddin Ali Ahmed,"diplomat, politician",Yes,No
Ajudhia Nath Khosla,1977,PadmaVibhushan,Delhi,Civil Service,https://en.wikipedia.org/wiki/Ajudhia_Nath_Khosla,"(1892-12-11)11 December 1892
New Delhi",(1892-12-11)11 December 1892,New Delhi,1984(1984-00-00)(aged 91–92),1984(1984-00-00)(aged 91–92),n/a,Indian,,,,"Padma Bhushan, 1954Shanti Swarup Bhatnagar Prize, 1974Padma Vibhushan, 1977",Fakhruddin Ali Ahmed,"engineer,educationistand social activist",Yes,No
Om Prakash Mehra,1977,PadmaVibhushan,Punjab,Civil Service,https://en.wikipedia.org/wiki/Om_Prakash_Mehra,"(1919-01-19)19 January 1919
Lahore,British India(now in Lahore,Pakistan)",(1919-01-19)19 January 1919,"Lahore,British India(now in Lahore,Pakistan)","8 November 2015(2015-11-08)(aged 96)
New Delhi,India",8 November 2015(2015-11-08)(aged 96),"New Delhi,India",,,"Sacred Heart Convent
Central Model School
Government College University
Punjab University",,"Param Vishist Seva Medal(PVSM)
Padma Vibhushan",Fakhruddin Ali Ahmed,,Yes,No
Ajoy Kumar Mukherjee,1977,PadmaVibhushan,West Bengal,Public Affairs,https://en.wikipedia.org/wiki/Ajoy_Mukherjee,"(1901-04-15)15 April 1901
Tamluk,Bengal Presidency,British India",(1901-04-15)15 April 1901,"Tamluk,Bengal Presidency,British India","27 May 1986(1986-05-27)(aged 85)
Calcutta,West Bengal,India",27 May 1986(1986-05-27)(aged 85),"Calcutta,West Bengal,India",,,,,Padma Vibhushan(1977),Fakhruddin Ali Ahmed,,Yes,No
Chandeshwar Prasad Narayan Singh,1977,PadmaVibhushan,Delhi,Literature & Education,https://en.wikipedia.org/wiki/Chandeshwar_Prasad_Narayan_Singh,"18 April 1901
Parasagarh,Saran District,Bengal Presidency,British India(Now inBihar,India)",18 April 1901,"Parasagarh,Saran District,Bengal Presidency,British India(Now inBihar,India)",1994 (aged 92–93),1994 (aged 92–93),n/a,,,Calcutta University,,,Fakhruddin Ali Ahmed,,Yes,No
Bismillah Khan,1980,PadmaVibhushan,Uttar Pradesh,Arts,https://en.wikipedia.org/wiki/Bismillah_Khan,"(1916-03-21)21 March 1916
Dumraon,Shahabad district,Bihar and Orissa Province,British India",(1916-03-21)21 March 1916,"Dumraon,Shahabad district,Bihar and Orissa Province,British India","21 August 2006(2006-08-21)(aged 90)
Varanasi, Uttar Pradesh, India",21 August 2006(2006-08-21)(aged 90),"Varanasi, Uttar Pradesh, India",,,,,,Neelam Sanjiva Reddy,,Yes,No
Rai Krishnadasa,1980,PadmaVibhushan,Uttar Pradesh,Civil Service,https://en.wikipedia.org/w/index.php?title=Anand_Krishna&action=edit&redlink=1,,n/a,n/a,,n/a,n/a,,,,,,Neelam Sanjiva Reddy,,Yes,No
Satish Dhawan,1981,PadmaVibhushan,Karnataka,Science & Engineering,https://en.wikipedia.org/wiki/Satish_Dhawan,"(1920-09-25)25 September 1920
Srinagar,Jammu and Kashmir,British India
(now inJammu and Kashmir,India)",(1920-09-25)25 September 1920,"Srinagar,Jammu and Kashmir,British India
(now inJammu and Kashmir,India)","3 January 2002(2002-01-03)(aged 81)
Bangalore,Karnataka,India",3 January 2002(2002-01-03)(aged 81),"Bangalore,Karnataka,India",,,,"Indian Space Research Organisation
Indian Institute of Science
California Institute of Technology
National Aerospace Laboratories",Padma Vibhushan,Neelam Sanjiva Reddy,,No,No
Ravi Shankar,1981,PadmaVibhushan,Uttar Pradesh,Arts,https://en.wikipedia.org/wiki/Ravi_Shankar,"(1920-04-07)7 April 1920
Benares,Benares State,British Raj",(1920-04-07)7 April 1920,"Benares,Benares State,British Raj","11 December 2012(2012-12-11)(aged 92)
San Diego, California, U.S.",11 December 2012(2012-12-11)(aged 92),"San Diego, California, U.S.",,,,,,Neelam Sanjiva Reddy,,No,No
Mira Behn,1982,PadmaVibhushan,—[C],Social Work,https://en.wikipedia.org/wiki/Mirabehn,"Madeleine Slade
(1892-11-22)22 November 1892",(1892-11-22)22 November 1892,n/a,"20 July 1982(1982-07-20)(aged 89)
Vienna, Austria",20 July 1982(1982-07-20)(aged 89),"Vienna, Austria",,,,,,Neelam Sanjiva Reddy,,No,No
C. N. R. Rao,1985,PadmaVibhushan,Karnataka,Science & Engineering,https://en.wikipedia.org/wiki/C._N._R._Rao,"Chintamani Nagesa Ramachandra Rao
(1934-06-30)30 June 1934(age 87)
Bangalore,Kingdom of Mysore,British India",(1934-06-30)30 June 1934(age 87),n/a,,n/a,n/a,Indian,,,"Indian Space Research Organisation
IIT Kanpur
Indian Institute of Science
University of Oxford
University of Cambridge
University of California, Santa Barbara
Jawaharlal Nehru Centre for Advanced Scientific Research","Marlow Medal(1967)
Shanti Swarup Bhatnagar Prize for Science and Technology(1969)
Hughes Medal(2000)
India Science Award(2004)
Dan David Prize(2005)
Legion of Honor(2005)
Abdus Salam Medal(2008)
Royal Medal(2009)
Padma Shri(1974)
Padma Vibhushan(1985)
Karnataka Ratna(2001)
Bharat Ratna(2014)
Order of Friendship(2009)
National Order of Scientific Merit(2012)
Order of the Rising Sun(2015)
Von Hippel Award (2017)
ENI award(2021)",Zail Singh,,No,No
M. G. K. Menon,1985,PadmaVibhushan,Kerala,Civil Service,https://en.wikipedia.org/wiki/M._G._K._Menon,"Mambillikalathil Govind Kumar Menon
(1928-08-28)28 August 1928
Manglore,India",(1928-08-28)28 August 1928,n/a,22 November 2016(2016-11-22)(aged 88),22 November 2016(2016-11-22)(aged 88),n/a,,,,"Tata Institute of Fundamental Research
Indian Space Research Organisation
Department of Science & Technology, Government of India",1996Abdus Salam Medal1985Padma Vibhushan1970FRS1968Padma Bhushan1960Shanti Swarup Bhatnagar Prize for Science and Technology,Zail Singh,,No,No
Baba Amte[h],1986,PadmaVibhushan,Maharashtra,Social Work,https://en.wikipedia.org/wiki/Baba_Amte,"(1914-12-26)26 December 1914[1]
Hinganghat,British India(present-dayMaharashtra,India)",(1914-12-26)26 December 1914[1],"Hinganghat,British India(present-dayMaharashtra,India)","9 February 2008(2008-02-09)(aged 93)
Anandwan, Maharashtra, India",9 February 2008(2008-02-09)(aged 93),"Anandwan, Maharashtra, India",Indian,Sadhana Amte,,,"Padma Shri, 1971
Ramon Magsaysay Award, 1985
Padma Vibhushan, 1986
United Nations Prize in the Field of Human Rights, 1988
Dr. Ambedkar International Award (1999),
Gandhi Peace Prize, 1999
Templeton Prize, 1990",Zail Singh,,No,Yes
Birju Maharaj,1986,PadmaVibhushan,Delhi,Arts,https://en.wikipedia.org/wiki/Birju_Maharaj,"(1938-02-04)4 February 1938(age 83)
Handia,United Provinces,British India",(1938-02-04)4 February 1938(age 83),"Handia,United Provinces,British India",,n/a,n/a,,,,,,Zail Singh,,No,No
Autar Singh Paintal,1986,PadmaVibhushan,Delhi,Medicine,https://en.wikipedia.org/wiki/Autar_Singh_Paintal,"(1925-09-24)24 September 1925
Mogok,Burma",(1925-09-24)24 September 1925,"Mogok,Burma","21 December 2004(2004-12-21)(aged 79)
Delhi, India",21 December 2004(2004-12-21)(aged 79),"Delhi, India",,,,"All India Institute of Medical Sciences,University College of Medical SciencesVallabhai Patel Chest InstituteIndian Council of Medical Research",Padma Vibhushan(1986)Honorary member ofAmerican Physiological Society[1]Fellow of the Royal SocietyFellow of the Royal Society of Edinburgh,Zail Singh,,No,No
Kamaladevi Chattopadhyay,1987,PadmaVibhushan,Karnataka,Social Work,https://en.wikipedia.org/wiki/Kamaladevi_Chattopadhyay,"(1903-04-03)3 April 1903
Mangalore,Madras Presidency(in present-dayKarnataka), India",(1903-04-03)3 April 1903,"Mangalore,Madras Presidency(in present-dayKarnataka), India","29 October 1988(1988-10-29)(aged 85)
Bombay,Maharashtra, India",29 October 1988(1988-10-29)(aged 85),"Bombay,Maharashtra, India",,"Krishna Rao​(m.1917⁠–⁠1919)​
Harindranath Chattopadhyay​​(m.1923⁠–⁠1955)​",,,"Ramon Magsaysay Award(1966)
Padma Bhushan(1955)
Padma Vibhushan(1987)",Zail Singh,,No,No
Benjamin Peary Pal,1987,PadmaVibhushan,Punjab,Science & Engineering,https://en.wikipedia.org/wiki/Benjamin_Peary_Pal,"(1906-05-26)26 May 1906
Mukandpur,Punjab,British India",(1906-05-26)26 May 1906,"Mukandpur,Punjab,British India",14 September 1989(1989-09-14)(aged 83),14 September 1989(1989-09-14)(aged 83),n/a,,,,Indian Council of Agricultural Research,FRS[1]Padma Vibhushan(1987),Zail Singh,,No,No
Manmohan Singh,1987,PadmaVibhushan,Delhi,Civil Service,https://en.wikipedia.org/wiki/Manmohan_Singh,"(1932-09-26)26 September 1932(age 89)
Gah,Punjab,British India
(present-dayPunjab,Pakistan)",(1932-09-26)26 September 1932(age 89),"Gah,Punjab,British India
(present-dayPunjab,Pakistan)",,n/a,n/a,Indian,Gursharan Kaur​(m.1958)​,"Panjab University(BA,MA)
University of Cambridge(BA)
University of Oxford(DPhil)",,"Padma Vibushan
Adam Smith Prize",Zail Singh,,No,No
Arun Shridhar Vaidya[iii]#,1987,PadmaVibhushan,Maharashtra,Civil Service,https://en.wikipedia.org/wiki/Arun_Shridhar_Vaidya,"27 July 1926
Alibag, Kolaba District,Bombay Presidency,British India
(now inRaigad District,Maharashtra,India)",27 July 1926,"Alibag, Kolaba District,Bombay Presidency,British India
(now inRaigad District,Maharashtra,India)","10 August 1986(1986-08-10)(aged 60)
Pune,Maharashtra,India",10 August 1986(1986-08-10)(aged 60),"Pune,Maharashtra,India",,,,,Padma Vibhushan(posthumous)Param Vishisht Seva MedalMaha Vir Chakra(Bar)Ati Vishisht Seva Medal,Zail Singh,,No,Yes
Mirza Hameedullah Beg,1988,PadmaVibhushan,Delhi,Public Affairs,https://en.wikipedia.org/wiki/Mirza_Hameedullah_Beg,"(1913-02-22)22 February 1913
Lucknow, British India",(1913-02-22)22 February 1913,"Lucknow, British India",19 November 1988(1988-11-19)(aged 75),19 November 1988(1988-11-19)(aged 75),n/a,,,,,,R. Venkataraman,,No,No
Kuvempu,1988,PadmaVibhushan,Karnataka,Literature & Education,https://en.wikipedia.org/wiki/Kuvempu,"(1904-12-29)29 December 1904
Hirekodige,Koppa,Chikmagalur,Kingdom of Mysore(now inKarnataka),[1]",(1904-12-29)29 December 1904,"Hirekodige,Koppa,Chikmagalur,Kingdom of Mysore(now inKarnataka),[1]","11 November 1994(1994-11-11)(aged 89)
Mysore, Karnataka, India",11 November 1994(1994-11-11)(aged 89),"Mysore, Karnataka, India",,Hemavathi​(m.1937⁠–⁠1994)​,,,"Karnataka Ratna(1992)
Padma Vibhushan(1988)
Jnanapith Award(1967)
Padma Bhushan(1958)",R. Venkataraman,"Poet, novelist, playwright, academic",No,No
Mahadevi Varma,1988,PadmaVibhushan,Uttar Pradesh,Literature & Education,https://en.wikipedia.org/wiki/Mahadevi_Varma,"(1907-03-26)26 March 1907
Farrukhabad,United Provinces of Agra and Oudh,British India",(1907-03-26)26 March 1907,"Farrukhabad,United Provinces of Agra and Oudh,British India","11 September 1987(1987-09-11)(aged 80)
Allahabad,Uttar Pradesh,India",11 September 1987(1987-09-11)(aged 80),"Allahabad,Uttar Pradesh,India",,Swarup Narayan Varma,,,"1956Padma Bhushan
1982Jnanpith Award
1988Padma Vibhushan",R. Venkataraman,"Novelist, poet and short-story writer",No,No
Uma Shankar Dikshit,1989,PadmaVibhushan,Uttar Pradesh,Public Affairs,https://en.wikipedia.org/wiki/Uma_Shankar_Dikshit,"12 January 1901
Ugu,North-Western Provinces,British India
(Now inUttar Pradesh,India)",12 January 1901,"Ugu,North-Western Provinces,British India
(Now inUttar Pradesh,India)","30 May 1991(1991-05-30)(aged 90)
New Delhi,India",30 May 1991(1991-05-30)(aged 90),"New Delhi,India",,,"Christ Church College, Kanpur",,,R. Venkataraman,,Yes,No
Ali Akbar Khan,1989,PadmaVibhushan,West Bengal,Arts,https://en.wikipedia.org/wiki/Ali_Akbar_Khan,"(1922-04-14)14 April 1922
Shibpur,Bengal Presidency, British India
(present day Bangladesh)",(1922-04-14)14 April 1922,"Shibpur,Bengal Presidency, British India
(present day Bangladesh)","18 June 2009(2009-06-18)(aged 87)
San Anselmo, California, U.S.",18 June 2009(2009-06-18)(aged 87),"San Anselmo, California, U.S.",,,,,,R. Venkataraman,,Yes,No
M. S. Swaminathan,1989,PadmaVibhushan,Tamil Nadu,Science & Engineering,https://en.wikipedia.org/wiki/M._S._Swaminathan,"(1925-08-07)7 August 1925(age 96)
Kumbakonam,Tanjore District,Madras Presidency,British India
(present dayThanjavur,Tamil Nadu, India)",(1925-08-07)7 August 1925(age 96),"Kumbakonam,Tanjore District,Madras Presidency,British India
(present dayThanjavur,Tamil Nadu, India)",,n/a,n/a,Indian,Mina Swaminathan,,Indian Council of Agricultural Research,1991Tyler Prize for Environmental Achievement1972Padma Bhushan1987World Food Prize1989Padma Vibhushan1971Ramon Magsaysay Award1967Padma Shri1961Shanti Swarup Bhatnagar Award,R. Venkataraman,,Yes,No
V. S. R. Arunachalam,1990,PadmaVibhushan,Delhi,Literature & Education,https://en.wikipedia.org/wiki/V._S._R._Arunachalam,,n/a,n/a,,n/a,n/a,,,,,,R. Venkataraman,,No,No
Triloki Nath Chaturvedi,1990,PadmaVibhushan,Karnataka,Civil Service,https://en.wikipedia.org/wiki/T._N._Chaturvedi,"Tirlok Nath Chaturvedi
(1929-01-18)18 January 1929
Kannauj,Uttar Pradesh,British Raj",(1929-01-18)18 January 1929,n/a,"5 January 2020(2020-01-05)(aged 90)
Noida, Uttar Pradesh, India",5 January 2020(2020-01-05)(aged 90),"Noida, Uttar Pradesh, India",Indian,,,,"Padma Vibhushan
(1991)",R. Venkataraman,,No,No
Bhabatosh Datta,1990,PadmaVibhushan,West Bengal,Literature & Education,https://en.wikipedia.org/wiki/Bhabatosh_Datta,"(1911-02-21)21 February 1911
Patna,Bihar Province,British India",(1911-02-21)21 February 1911,"Patna,Bihar Province,British India",11 January 1997(1997-01-11)(aged 85),11 January 1997(1997-01-11)(aged 85),n/a,Indian,Amala Datta,,,Padma Vibhushan(1990),R. Venkataraman,"Educationist, Economist, poet, writer",No,No
